Job Category:,Number of Positions:,Job Location:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,Contact Email:,Closing Date:,Organisation/Entity:,job_title
Planning | Traffic and Transport Planning,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/senior-manager-network-analysis-110918,Full-Time,000065W3,0429 100 409 - Shefali Uppal,An attractive remuneration package will be negotiated with the successful candidate.,,29/05/2018 - 11:59 PM,Sydney,Senior Manager Network Analysis
Investigation | Analyst,2,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/reporting-analyst-110914,Full-Time,000065YO,0437 826 135 - Swathy Mohan,"RMS USS Grade 10 ($117,291 - $128,178), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Sydney,Reporting Analyst
Engineering | Project Management,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/project-manager-signals-and-control-systems-transport-cluster-wide-110913,Full-Time,000061U6,0434 798 423 - Jessica Schob,"RC Grade 6 ($120,237 - $133,322), plus employer's contribution to superannuation and annual leave loading.",,22/05/2018 - 11:59 PM,Maintenance,Project Manager - Signals and Control Systems (Transport Cluster wide)
Information and Communications Technology,,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/product-engineer-110461,Full-Time,000066F3,lauren.johnson@service.nsw.gov.au - Lauren Johnson,"Multiple packages available ranging from $106,419 to $158,969",,01/06/2018 - 11:59 PM,Service NSW,Product Engineer
Nursing and Midwifery | Nurse Manager,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,https://iworkfor.nsw.gov.au/job/whole-of-health-program-manager-hmcn-nm3-port-macquarie-temp-full-time-till-30-6-19-110910,Full-Time,REQ33357,,"$118,257.51 - $120,454.23",,29/05/2018 - 11:59 PM,Mid North Coast Local Health District,Whole of Health Program Manager HMCN (NM3) - Port Macquarie - Temp Full Time till 30/6/19
Projects | Project Manager,1,Sydney Region,https://iworkfor.nsw.gov.au/job/coordinator-child-wellbeing-and-clincial-projects-health-manager-level-2-109191,Full-Time,REQ29464,,"$93,099.00 - $110,422.00",,21/05/2018 - 11:59 PM,Sydney Local Health District,Coordinator Child Wellbeing and Clincial Projects (Health Manager Level 2)
Population Health | Health Promotion,1,Sydney Region,https://iworkfor.nsw.gov.au/job/health-promotion-planning-and-evaluation-manager-110812,Full-Time,REQ37094,,"$93,099.00 - $110,422.00",,28/05/2018 - 11:59 PM,Northern Sydney Local Health District,Health Promotion Planning and Evaluation Manager
Information and Communications Technology | IT Professional,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/technical-information-analyst-110907,Full-Time,000063LO,9228 4713 - Jacqueline Parker,"Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,Department of Premier and Cabinet,Technical Information Analyst
Health - Allied | Speech Pathology,1,Illawarra & South Coast / Wollongong & The South Coast,https://iworkfor.nsw.gov.au/job/level-8-speech-pathologist-head-of-department-district-wide-110911,Full-Time,REQ40909,,"$142,170.00 - $142,170.00",,27/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,Level 8 Speech Pathologist - Head of Department - District Wide
Research and Analysis | Analysis,1,Sydney Region / Sydney - Inner West,https://iworkfor.nsw.gov.au/job/senior-analyst-110905,Full-Time,0000666V,02 8265 7591 - Inna Kiner,"Transport Service Grade 8 ($109,589 - $122,739), plus employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,"Freight, Strategy & Planning",Senior Analyst
Education And/Or Training,1,Regional NSW / Dubbo & West NSW,https://iworkfor.nsw.gov.au/job/curriculum-designer-transport-logistics-dubbo-110896,Full-Time,000066NH,aimee.nicholls@hudson.com - Aimee Nicholls,"$132,891. Package includes salary ($116,988 - $119,884), employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,TAFE Commission,Curriculum Designer (Transport & Logistics - Dubbo)
